ambraciotes	PROPN	?	Greek?
cymodocea	PROPN	Compound	Greek
conconnetodumnus	PROPN	Compound	Celtic
indutiomarus	PROPN	Compound	Celtic
amphiteatrum	NOUN	Compound	Greek
chrysocolla	NOUN	Compound	Greek
myropola	NOUN	Compound	Greek
hypobarus	PROPN	Compound	Greek
gallograecia	PROPN	Compound	
triduus	NOUN	Compound	
patroclus	PROPN	Compound	Greek
cepolatitis	NOUN	Compound?	Greek?
dioecetes	NOUN	Derived	Greek
conductum	NOUN	Participle	Misclassified
coitus	NOUN	Participle	Misclassified
fatum	NOUN	Participle	Misclassified
aduersum	NOUN	Participle	Misclassified
demeritum	NOUN	Participle	Misclassified
textum	NOUN	Participle	Misclassified
contentus	ADJ	Participle	Misclassified
christus	NOUN	Participle	Greek
fusus	ADJ	Participle	Misclassified
eiectus	NOUN	Participle	Misclassified
redduco	VERB	Prefix	
apperior	VERB	Prefix	
nauita	NOUN	Suffix	
fornax	NOUN	Suffix	
marcellinus	PROPN	Suffix	
staberius	PROPN	Suffix	
pleraque	NOUN	Suffix	Misclassified
laternarius	NOUN	Suffix	
tartareus	ADJ	Suffix	Greek
nuntius	NOUN	Suffix	
modius	NOUN	Suffix	
publius	PROPN	Suffix	
saturius	PROPN	Suffix	
aufidius	PROPN	Suffix	
aethiopia	PROPN	Suffix	Greek
olympiscus	PROPN	Suffix	
interiora	NOUN	Suffix	Misclassified
uxorius	ADJ	Suffix	
tantumdem	DET	Suffix	Misclassified
aegyptius	NOUN	Suffix	Greek
thimodes	PROPN	Suffix	Greek
historia	NOUN	Suffix	Greek
recupero	VERB	Suffix	
quaestorium	NOUN	Suffix	
catinenses	PROPN	Suffix	Misclassified
tristimonium	NOUN	Suffix	
uectigal	NOUN	Suffix	
mucius	PROPN	Suffix	
laurentinum	PROPN	Suffix	Misclassified
apuleius	PROPN	Suffix	
acropolistis	PROPN	Suffix	Greek
cercius	PROPN	Suffix?	Celtic?
successus	NOUN	Verbnoun	
ploratus	NOUN	Verbnoun	
calaber	ADJ		Greek
piget	VERB		
phidias	PROPN		
chatti	PROPN		
linum	NOUN		
essedum	NOUN		Celtic
phalangae	NOUN		Greek
cornu	NOUN		
funda	NOUN		
uador	VERB		
denso	VERB		
pholus	PROPN		Greek
uana	NOUN		
scyphus	NOUN		Greek
callisto	PROPN		Greek
nubes	NOUN		
stuppa	NOUN		Greek
helicon	PROPN		Greek
mirus	ADJ		
echinus	NOUN		Greek
latona	PROPN		Greek
ticinus	PROPN		
teia	PROPN		
india	PROPN		Indic
sagino	VERB		
polemon	PROPN		Greek
chrysis	PROPN		Greek
philon	PROPN		Greek
dorus	PROPN		Greek
pelagus	NOUN		Greek
telamon	PROPN		Greek
bistones	PROPN		Greek
sciron	NOUN		Greek
simoneta	PROPN		Italian
procula	PROPN		
suebus	ADJ		Germanic
arabes	PROPN		Arabic
sclauo	NOUN		Greek
casso	VERB		
achiui	PROPN		Greek
aegeus	PROPN		Greek
aesculapius	PROPN		Greek
nothus	PROPN		Greek
