etiamnum	ADV
etsi	SCONJ
euidenter	VERB
excellenter	VERB
excepto	VERB
exemplariter	ADJ
exinde	PRON
explicite	VERB
expresse	VERB
exprimo	VERB
exquisite	VERB
extemplo	VERB
extra	REL
extrinsece	REL
extrinsecus	REL
extrorsum	REL
facete	ADJ
facile	ADJ
facili	ADJ
facilis	ADJ
faciliter	ADJ
falso	ADJ
familiaris	ADJ
familiariter	ADJ
fastidiose	ADJ
fastigate	VERB
febr	ADJ
febr.	ADJ
februar	ADJ
fecunde	ADJ
feliciter	ADJ
fere	ADV
feruenter	VERB
festinanter	VERB
festiue	ADJ
ficte	VERB
fideliter	ADJ
fidenter	VERB
fiducialiter	ADJ
figurate	VERB
figuratiue	ADJ
finaliter	ADJ
firme	ADJ
firmiter	ADJ
firmius	ADJ
fixe	VERB
foede	ADJ
foras	REL
forinsecus	REL
foris	REL
formaliter	ADJ
formosus	ADJ
fors	NOUN
forsan	NOUN
forsitan	ADV
fortasse	ADV
fortassis	ADV
forte	ADJ
fortis	ADJ
fortiter	ADJ
fortuito	ADJ
fraterne	ADJ
frequens	ADJ
frequenter	ADJ
frustra	ADV
funditus	NOUN
furenter	VERB
furialiter	ADJ
furtim	VERB
generaliter	ADJ
generatim	VERB
gentiliter	ADJ
gloriose	ADJ
gradatim	NOUN
graece	ADJ
gratis	NOUN
gratulanter	VERB
grauis	ADJ
grauiter	ADJ
habitualiter	ADJ
hac	DET
hactenus	DET
haud	PART
haudquaquam	PART
hebraice	ADJ
heri	NOUN
hic	DET
hinc	DET
hincinde	X
hodie	NOUN
honeste	ADJ
honestus	ADJ
honorifice	ADJ
honorificus	ADJ
huc	DET
hucusque	DET
huiuscemodi	NOUN
humane	ADJ
humaniter	ADJ
humanitus	ADJ
humiliter	ADJ
iacob.	NOUN
iam	ADV
iamdudum	ADV
iampridem	ADV
ianuar	ADJ
ianuarias	ADJ
ibi	PRON
ibidem	PRON
idcirco	PRON
idealiter	ADJ
idem	PRON
identidem	ADV
ideo	DET
ideoque	DET
idest	CCONJ
idus	NOUN
igitur	PART
ignominiose	ADJ
iii	NUM
iiii	NUM
ilicet	VERB
ilico	PRON
illac	DET
ille	DET
illegitime	ADJ
illiberaliter	ADJ
illic	DET
illinc	DET
illo	DET
illuc	DET
imaginarie	ADJ
immaterialiter	ADJ
immediate	VERB
immerito	VERB
immo	ADP
immobiliter	ADJ
immoderate	VERB
immoderatus	ADJ
immodestus	ADJ
immodice	ADJ
immutabiliter	ADJ
imperabiliter	ADJ
imperfecte	VERB
impie	ADJ
implicite	VERB
importune	ADJ
imprimis	ADJ
improbe	ADJ
improportionaliter	ADJ
improprie	ADJ
impudenter	VERB
impune	ADJ
impunis	ADJ
in	ADP
inaequaliter	ADJ
incaute	VERB
incessanter	VERB
incircumscriptiue	ADJ
incommode	ADJ
incomparabiliter	ADJ
incomplete	VERB
incongrue	ADJ
inconsiderate	VERB
inconsulte	VERB
inconsultus	ADJ
inconueniens	VERB
inconuenienter	VERB
incorruptibiliter	ADJ
incredibiliter	ADJ
incunctanter	VERB
inde	PRON
indebite	VERB
indecenter	VERB
indecore	ADJ
indeficienter	VERB
indelebiliter	ADJ
indifferenter	VERB
indignanter	VERB
indigne	ADJ
indignus	ADJ
indiligenter	VERB
indirecte	VERB
indiscrete	VERB
indistincte	VERB
indiuidualiter	ADJ
indiuisibiliter	ADJ
indubitabiliter	ADJ
ineffabilis	ADJ
ineffabiliter	ADJ
inepte	VERB
inerudite	VERB
ineuitabiliter	ADJ
infallibiliter	ADJ
infere	ADJ
infinite	VERB
infinities	VERB
infinito	VERB
informiter	ADJ
infra	REL
ingenue	ADJ
inhoneste	ADJ
inibi	PRON
inique	ADJ
iniucunde	ADJ
iniuste	ADJ
inordinate	VERB
inquiete	VERB
inscie	ADJ
inseparabiliter	ADJ
insimul	ADV
insolenter	VERB
instanter	VERB
instrumentaliter	ADJ
insulse	ADJ
insuper	REL
integre	ADJ
intellectualiter	ADJ
intelligibiliter	ADJ
intempestiue	ADJ
intempestiuus	ADJ
intense	VERB
inter	REL
interdiu	NOUN
interdum	ADV
interea	DET
interim	PRON
interius	ADJ
intimus	ADJ
intra	REL
intrinsece	ADJ
intrinsecus	REL
intro	REL
introrsum	REL
intus	REL
inuicem	PRON
inuiolabiliter	ADJ
inuisibilis	ADJ
inuisibiliter	ADJ
inuocatio	NOUN
inuoluntarie	ADJ
inutiliter	ADJ
iracunde	ADJ
ironice	ADJ
irrationabilis	ADJ
irrationabiliter	ADJ
irregulariter	ADJ
irreuerenter	VERB
irridicule	ADJ
istic	DET
istim	DET
istinc	DET
istuc	DET
ita	DET
itaque	PART
item	PART
itemque	PART
iterato	VERB
iterum	PART
iucunde	ADJ
iudaice	ADJ
iugiter	ADJ
iunias	ADJ
iuste	ADJ
iustus	ADJ
iuxta	REL
kal	NOUN
kal.	NOUN
kaldiem	NOUN
kalend	NOUN
kalend.	NOUN
kalmaias	NOUN
labiliter	ADJ
laetanter	VERB
large	ADJ
largiter	ADJ
largus	ADJ
late	ADJ
latenter	VERB
latine	ADJ
latus	ADJ
laudabiliter	ADJ
laute	VERB
legitime	ADJ
leniter	ADJ
lente	ADJ
lepide	ADJ
leue	ADJ
leuis	ADJ
leuiter	ADJ
libenter	VERB
liberalis	ADJ
liberaliter	ADJ
libere	ADJ
libet	VERB
libidinose	ADJ
libidinosus	ADJ
libratim	VERB
licet	VERB
licite	VERB
litteraliter	ADJ
localiter	ADJ
longe	ADJ
longus	ADJ
luculenter	VERB
luxuriose	ADJ
luxuriosus	ADJ
lycaonice	ADJ
magis	ADJ
magne	ADJ
magnifice	ADJ
magnificus	ADJ
magnopere	NOUN
magnus	ADJ
maias	ADJ
maias.	ADJ
male	ADJ
maledice	ADJ
maligne	ADJ
malus	ADJ
mane	NOUN
manifeste	VERB
manifestus	VERB
martias	ADJ
materialiter	ADJ
mathematice	ADJ
mature	ADJ
mediate	VERB
medie	ADJ
medio	ADJ
mediocriter	ADJ
medullitus	NOUN
melius	ADJ
meliuscule	ADJ
membratim	NOUN
memorabiliter	ADJ
mendaciter	ADJ
mendose	ADJ
mereo	VERB
merito	VERB
met	X
metaphorice	ADJ
metrice	ADJ
milies	NUM
minaciter	ADJ
minime	DET
minimus	DET
minus	DET
minutim	VERB
mirabiliter	ADJ
miraculose	ADJ
mire	ADJ
mirifice	ADJ
miserabiliter	ADJ
misere	ADJ
misericorditer	ADJ
mobiliter	ADJ
moderatus	ADJ
modeste	ADJ
modice	ADJ
modico	ADJ
modicum	ADJ
modo	ADV
modum	NOUN
modus	NOUN
moleste	ADJ
mollis	ADJ
molliter	ADJ
moraliter	ADJ
mortaliter	ADJ
mox	ADV
multifariam	ADJ
multimode	NOUN
multipliciter	ADJ
multo	DET
multoque	DET
multoties	DET
multum	DET
multus	DET
municipatim	NOUN
mutuo	ADJ
mutuus	ADJ
nam	PART
namque	PART
natu	NOUN
naturaliter	ADJ
ne	PART
nec	CCONJ
necessario	ADJ
necessarius	ADJ
necesse	ADJ
necnon	CCONJ
negatiue	ADJ
negligenter	VERB
nequaquam	PRON
neque	CCONJ
nequedum	CCONJ
nequicquam	DET
nequiquam	DET
neu	CCONJ
nihil	PRON
nihilo	PRON
nihilominus	DET
nimirum	ADJ
nimis	ADJ
nimium	ADJ
nisi	SCONJ
nobiliter	ADJ
noctu	NOUN
nominatim	VERB
nominatiue	ADJ
non	PART
non.	ADJ
nonas	ADJ
nondum	PART
nonne	PART
nonnihil	PRON
nonnumquam	ADV
nono	ADJ
notionaliter	ADJ
nou.	ADJ
nouembr	ADJ
nouembr.	ADJ
nouembris	ADJ
nouissime	ADJ
nouiter	ADJ
nouus	ADJ
nudius	NOUN
nullatenus	DET
num	PART
numero	NOUN
numquam	ADV
numquid	PRON
numquis	PRON
nunc	ADV
nuper	ADV
nusquam	PRON
ob	ADP
obiter	NOUN
oblique	ADJ
obscene	ADJ
obscure	ADJ
obstinate	VERB
obuiam	REL
occasionaliter	ADJ
occulte	VERB
ocior	ADJ
octobr	NOUN
octobris	NOUN
officiose	ADJ
olim	ADV
oliorum	ADV
omnimode	NOUN
omnino	DET
opere	NOUN
opipare	ADJ
oppido	PART
opportune	ADJ
ordinate	VERB
oretenus	NOUN
organice	ADJ
orientaliter	ADJ
originaliter	ADJ
ornate	VERB
ostensiue	ADJ
otiose	ADJ
paene	ADV
palam	ADV
parate	VERB
parce	ADJ
parcus	ADJ
pariter	ADJ
partialiter	ADJ
participatiue	ADJ
participialiter	ADJ
particulariter	ADJ
partim	NOUN
parue	DET
parum	DET
paruus	DET
passim	VERB
patienter	VERB
paulatim	ADJ
paulisper	ADJ
paulo	ADJ
paulominus	ADJ
paululum	ADJ
paululus	ADJ
paulum	ADJ
paulus	ADJ
penitus	NOUN
per	ADP
peraeque	ADJ
perbelle	ADJ
perdiligenter	VERB
perdiu	NOUN
peregre	ADJ
perfacile	ADJ
perfecte	VERB
pergrauiter	ADJ
pericolosus	ADJ
perincommode	ADJ
perlibenter	VERB
permoleste	ADJ
permultum	DET
perperam	ADJ
perpetualiter	ADJ
perpetuo	ADJ
perpetuus	ADJ
persaepe	ADV
personaliter	ADJ
perspicaciter	ADJ
persuasorie	ADJ
pertinaciter	ADJ
pertinax	ADJ
peruerse	VERB
pessum	REL
petulanter	VERB
phantastice	ADJ
pie	ADJ
placide	ADJ
placidus	ADJ
plane	ADJ
planus	ADJ
plenarie	ADJ
plene	ADJ
plerumque	DET
plerusque	DET
pluraliter	ADJ
plures	DET
pluries	DET
plurumus	DET
plus	DET
poenaliter	ADJ
poetice	ADJ
polite	VERB
pondo	NOUN
porro	ADV
post	REL
postea	DET
postere	ADJ
posthac	DET
postmodum	NOUN
postquam	PRON
postremo	ADJ
postridie	PRON
pote	ADJ
potis	ADJ
potissime	ADJ
potissimum	ADJ
potius	ADJ
praecedenter	VERB
praeceps	ADJ
praecipue	ADJ
praecipuus	ADJ
praecise	ADJ
praeclare	ADJ
praesentaliter	ADJ
praesentialiter	ADJ
praesertim	VERB
praesto	NOUN
praeterea	DET
praeterpropter	X
praeterquam	PRON
prauus	ADJ
presse	VERB
pridem	ADV
pridie	NOUN
primitus	ADJ
primo	ADJ
primum	ADJ
primus	ADJ
principaliter	ADJ
prior	ADJ
priuatim	VERB
priuatiue	ADJ
prius	ADJ
probabiliter	ADJ
probe	ADJ
procaciter	ADJ
procul	REL
prodigaliter	ADJ
profecto	VERB
profunde	ADJ
progressiue	ADJ
proinde	PRON
prolixe	ADJ
promiscue	ADJ
promiscuus	ADJ
prompte	VERB
prone	ADJ
prope	REL
propediem	PRON
propemodum	NOUN
properus	ADJ
propinque	ADJ
propius	ADJ
proportionabiliter	ADJ
proportionaliter	ADJ
proprie	ADJ
propterea	DET
prorsus	REL
prosaice	ADJ
prospere	ADJ
prosperus	ADJ
protinus	REL
prouerbialiter	ADJ
prouide	ADJ
prout	SCONJ
proxime	ADJ
prudenter	VERB
publice	ADJ
publicus	ADJ
puerilis	ADJ
pulcher	ADJ
pulchre	ADJ
pure	ADJ
purus	ADJ
pusillum	ADJ
puta	CCONJ
qua	PRON
quacumque	PRON
qualis	DET
qualiter	DET
qualitercumque	DET
quam	PRON
quamdiu	NOUN
quamlibet	PRON
quamobrem	NOUN
quamquam	SCONJ
quamuis	PRON
quando	PRON
quandoque	PRON
quandoquidem	PRON
quanto	PRON
quantopere	NOUN
quantum	PRON
quantumcumque	PRON
quantus	PRON
quapropter	PRON
quare	NOUN
quarto	ADJ
quasi	SCONJ
quatenus	PRON
quater	NUM
que	CCONJ
quem	PRON
quemadmodum	NOUN
qui	PRON
quia	SCONJ
quid	PRON
quidem	PART
quin	PRON
quingentiens	NUM
quinimmo	PRON
quinquiens	NUM
quint	ADJ
quint.	ADJ
quintilis	ADJ
quinto	ADJ
quippe	PRON
quippini	PRON
quo	PRON
quoad	PRON
quocirca	PRON
quocumque	PRON
quod	SCONJ
quodammodo	NOUN
quominus	PRON
quomodo	NOUN
quomodocumque	NOUN
quonam	PRON
quondam	ADV
quoniam	ADV
quoque	PART
quoquouersus	REL
quorsum	REL
quorsus	REL
quot	DET
quotannis	NOUN
quotienscumque	DET
quoties	ADV
quotquot	DET
quousque	PRON
raptim	VERB
rare	ADJ
rarenter	ADJ
raro	ADJ
rationabiliter	ADJ
re	NOUN
realiter	ADJ
recenter	ADJ
recitatiue	ADJ
recte	VERB
rectus	ADJ
rego	VERB
regulariter	ADJ
relatiue	ADJ
rem	NOUN
remisse	VERB
remote	VERB
repens	ADJ
repente	ADJ
respectiue	ADJ
retro	REL
retrorsus	REL
retrouersus	REL
reuera	NOUN
reuerenter	VERB
reuereor	VERB
ridicule	ADJ
rite	NOUN
rude	ADJ
rursus	REL
sacramentaliter	ADJ
saepe	ADV
saepenumero	X
saepis	ADJ
saltem	ADV
salubriter	ADJ
salue	ADJ
sancte	VERB
sane	ADJ
sanus	ADJ
sapienter	VERB
satis	ADJ
sceleste	ADJ
scienter	VERB
scilicet	CCONJ
scite	VERB
secerno	VERB
secreto	VERB
secretum	VERB
secundario	ADJ
secunde	ADJ
secundo	ADJ
secundum	ADJ
secure	ADJ
secus	REL
sed	CCONJ
seditiose	ADJ
sedulo	ADJ
segregatim	VERB
semel	ADV
semotim	VERB
semper	ADV
sempiternus	ADJ
sensibiliter	ADJ
sententialiter	ADJ
seo	X
seorsum	REL
separatim	VERB
sept	ADJ
septembris	ADJ
septiens	NUM
septimo	ADJ
septuagiens	NUM
sere	ADJ
seriatim	NOUN
sero	ADJ
seruiliter	ADJ
serus	ADJ
setius	REL
seuere	ADJ
seuerus	ADJ
sext.	ADJ
sextil	ADJ
sextil.	ADJ
sextilis	ADJ
sexto	ADJ
si	SCONJ
sic	ADV
sicut	SCONJ
sicuti	SCONJ
signanter	VERB
significatiue	ADJ
similis	ADJ
similiter	ADJ
similitudinarie	ADJ
simpliciter	ADJ
simul	ADV
sin	SCONJ
sincere	ADJ
singillatim	ADJ
singulariter	ADJ
sinister	ADJ
sinistrorsus	REL
siquidem	SCONJ
siue	SCONJ
socialiter	ADJ
solemniter	ADJ
solidus	ADJ
sollemniter	ADJ
sollicite	VERB
solum	DET
solummodo	NOUN
solus	ADJ
sortior	VERB
specialiter	ADJ
speculatiue	ADJ
spiritaliter	ADJ
spiritualiter	ADJ
spisse	ADJ
splendide	ADJ
sponte	NOUN
